MATERIAL ESCOLAR;Kalunga CanPKS;Casa do Estudante CanPKS;Casa do Papel centro;Papelaria Brasil centro;Jemyny Store;Supermercado Nacional;Zaffari Bourbon;Livraria Canoas; Unisuper Açucena;Oficina do professor;Carrefour;Asun Fátima
Estojo;R$ 2,40;R$ 19,90;R$ 9,98;R$ 5,90;R$ 10,00;R$ 29,90;R$ 16,80;R$ 9,90;R$ 34,90;R$ 9,90;R$ 12,97;R$ 12,90
Lápis preto;R$ 1,13;R$ 2,00;R$ 0,23;R$ 0,28;R$ 1,00;R$ 4,99;R$ 1,60;R$ 1,00;-;R$ 0,85;R$ 0,90;R$ 7,90
Borracha;R$ 1,15;R$ 1,40;R$ 0,12;R$ 0,17;R$ 0,70;-;R$ 1,10;R$ 0,50;R$ 3,66;R$ 0,90;R$ 1,50;R$ 6,98
Estojo de lápis de cor (c/ 12 cores);R$ 2,30;R$ 9,90;R$ 2,90;R$ 3,90;R$ 6,00;R$ 19,99;R$ 18,50;R$ 7,50;R$ 19,90;R$ 7,90;R$ 6,99;R$ 15,98
Estojo de giz de cera (c/ 12 cores);R$ 2,30;R$ 3,90;R$ 1,98;R$ 2,50;R$ 2,90;-;R$ 6,98;R$ 5,40;R$ 3,49;R$ 3,95;R$ 5,99;R$ 4,99
Estojo de hidrocor ponta fina (c/ 12 cores);R$ 7,30;R$ 16,90;R$ 3,25;R$ 6,50;R$ 8,00;-;R$ 7,90;R$ 16,90;R$ 6,98;R$ 7,90;R$ 4,49;R$ 12,90
Régua plástica rígida transparente (30cm);R$ 2,60;R$ 2,20;R$ 0,60;R$ 0,80;R$ 1,60;-;R$ 5,80;R$ 2,90;R$ 2,98;R$ 1,50;R$ 4,69;-
Tesoura de ponta arredondada;R$ 3,30;R$ 5,90;R$ 2,98;R$ 1,87;R$ 4,20;-;R$ 7,98;R$ 9,90;-;R$ 4,90;R$ 2,99;R$ 12,90
Apontador com depósito;R$ 3,20;R$ 2,90;R$ 0,98;R$ 1,25;R$ 3,60;R$ 5,95;R$ 5,20;R$ 3,90;-;R$ 1,50;R$ 2,39;-
Tubo de cola bastão;R$ 2,80;R$ 3,30;R$ 0,70;R$ 1,10;R$ 2,90;R$ 5,99;R$ 2,70;R$ 3,90;-;R$ 2,95;R$ 3,69;R$ 8,98
Tubo de cola líquida;R$ 2,50;R$ 3,30;R$ 0,98;R$ 1,59;R$ 1,20;-;R$ 2,98;R$ 5,95;R$ 3,99;R$ 3,90;R$ 2,79;R$ 4,98
Caderno grande 96 folhas;R$ 9,90;R$ 14,90;R$ 4,49;R$ 9,90;R$ 10,00;R$ 8,99;R$ 9,90;R$ 10,90;R$ 29,90;R$ 12,90;R$ 10,99;R$ 9,90
Caderno pequeno 96 folhas;R$ 5,60;R$ 8,90;R$ 2,15;R$ 4,30;R$ 4,10;-;R$ 6,98;R$ 8,20;-;R$ 7,90;R$ 4,09;-
Compasso escolar;R$ 8,50;R$ 6,90;R$ 6,98;R$ 8,45;R$ 6,30;-;R$ 21,90;R$ 4,50;-;R$ 9,90;R$ 1,89;-
Caneta marca texto;R$ 2,20;R$ 2,90;R$ 0,80;R$ 2,20;R$ 2,20;-;R$ 4,98;R$ 3,70;R$ 5,98;R$ 3,75;R$ 3,49;R$ 4,98
Caneta esferográfica (azul ou preta);R$ 1,67;R$ 1,90;R$ 0,40;R$ 0,70;R$ 1,30;R$ 2,50;R$ 1,99;R$ 1,40;R$ 1,50;R$ 1,50;R$ 1,56;R$ 6,98
Dicionário da Língua Portuguesa;R$ 10,90;R$ 42,00;R$ 6,98;R$ 3,90;R$ 4,60;-;-;R$ 14,90;-;R$ 19,90;-;-
Folha sulfite A4 branca (pacote com 100 folhas);R$ 4,20;R$ 6,90;R$ 3,98;R$ 4,90;R$ 5,50;R$ 5,99;R$ 5,98;R$ 5,90;R$ 4,98;R$ 6,50;R$ 4,59;R$ 6,99
Totais;R$ 73,95;R$ 156,00;R$ 50,48;R$ 60,21;R$ 76,10;R$ 84,30;R$ 129,27;R$ 117,25;R$ 118,26;R$ 108,50;R$ 76,00;R$ 117,36